#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
lesl21 14A 8 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
453 29.03 56.60 14.08 66.49 28.06
454 28.98 78.74 12.20 78.80 28.80
455 29.13 15.22 8.55 7.11 27.02
456 29.06 33.89 11.96 7.49 32.27
457 29.14 43.74 10.78 10.35 31.70
458 29.25 60.21 13.25 208.78 30.62
459 29.26 84.15 11.90 32.47 91.83
460 29.32 22.33 11.00 7.40 28.42
461 29.21 46.63 12.81 10.79 32.44
462 29.40 20.05 9.41 7.59 27.34
463 29.76 54.91 14.88 183.63 30.56
464 29.55 68.45 13.05 131.07 28.57
465 29.51 72.68 13.94 89.82 28.32
466 29.51 75.61 12.36 89.84 32.12
467 29.63 63.07 15.07 221.74 30.77
468 29.93 24.69 11.55 10.09 26.70
469 29.63 81.05 12.55 32.29 94.25
470 29.67 45.29 13.41 15.53 34.12
471 29.84 52.49 14.62 67.30 27.75
472 29.88 36.85 13.23 10.05 34.05
473 30.03 33.05 11.57 11.75 28.64
474 30.01 40.53 13.91 14.58 33.37
475 30.04 13.23 9.22 9.47 23.82
476 30.10 58.15 14.72 209.63 30.24
477 29.98 79.11 12.78 27.75 98.00
478 30.03 30.23 12.00 10.17 31.19
479 30.07 77.29 14.22 29.00 95.00
480 29.95 43.94 11.94 13.19 35.12
481 30.34 65.53 13.61 143.58 28.68
482 30.20 34.85 12.19 11.22 32.39
483 30.25 83.95 10.86 16.02 115.36
484 30.40 15.68 8.96 12.65 26.17
485 30.23 18.14 9.14 12.29 25.96
486 30.34 70.34 13.23 55.04 33.62
487 30.52 20.61 10.41 16.82 28.08
488 30.62 48.34 13.75 125.93 31.35
489 30.44 60.91 14.19 193.19 30.52
490 30.53 74.69 13.74 24.83 118.92
491 30.30 80.97 13.00 29.71 101.29
492 30.81 50.96 13.44 170.91 32.55
493 30.65 9.50 7.93 11.35 24.21
494 30.54 31.23 10.67 20.67 29.80
495 30.62 82.24 12.54 15.87 110.69
496 30.81 72.38 13.75 31.16 109.84
497 30.63 78.30 13.30 28.33 101.27
498 30.84 44.10 13.27 56.63 31.69
499 30.80 67.85 14.94 68.75 35.34
500 30.98 23.40 11.59 28.41 25.54
501 30.81 38.91 13.61 21.05 32.00
502 31.01 53.77 14.81 207.83 31.85
503 30.85 34.22 12.24 18.19 33.90
504 31.09 57.00 14.47 202.87 32.00
505 31.07 63.02 13.86 106.27 32.16
506 31.12 85.77 12.51 11.45 104.76
507 31.30 12.76 9.56 43.82 22.63
508 31.53 29.48 11.74 110.02 30.14
509 31.55 18.60 10.26 73.35 23.59
510 31.35 41.69 15.22 82.33 30.73
511 31.41 26.26 11.12 56.92 24.04
512 31.62 36.36 13.46 88.00 31.78
513 31.35 80.99 13.53 12.89 111.22
514 31.45 59.95 14.30 152.66 34.47
515 31.68 68.80 15.37 28.10 128.71
516 31.37 75.24 13.17 18.11 134.00
517 31.44 33.76 14.14 57.80 29.20
518 31.64 77.57 14.32 14.29 129.91
519 31.67 15.50 10.09 84.77 22.79
520 31.53 65.74 15.95 67.46 39.05
521 31.76 46.24 15.61 204.57 32.67
522 32.14 38.59 15.04 163.54 33.16
523 32.02 31.83 13.05 169.27 28.85
524 31.88 72.15 13.76 17.33 140.51
525 31.94 49.12 14.33 204.15 33.33
526 31.90 55.34 14.50 146.23 30.42
527 31.95 51.78 16.43 160.39 33.51
528 32.30 10.73 8.52 126.93 22.45
529 32.21 21.71 10.28 135.46 27.11
530 31.91 81.96 14.79 13.67 100.76
531 32.09 63.46 15.50 43.31 141.60
532 32.24 24.48 12.04 169.22 31.18
533 32.29 43.62 14.38 218.15 32.79
534 32.08 84.21 12.97 11.97 105.18
535 32.18 57.98 14.95 64.30 36.86
536 32.42 86.34 11.59 12.30 90.14
537 32.42 41.01 14.86 221.78 33.17
538 32.42 60.41 14.40 38.84 148.74
539 32.74 75.54 15.04 11.47 116.57
540 32.64 34.38 13.84 188.67 31.81
541 32.75 66.45 15.53 20.97 145.66
542 32.57 88.07 11.68 13.87 58.84
543 32.61 53.34 14.80 106.84 32.29
544 32.82 26.83 12.12 168.49 30.43
545 32.87 78.67 14.05 11.50 94.43
546 32.97 13.66 9.24 142.74 23.59
547 33.05 81.83 14.14 13.47 78.92
548 32.96 16.54 10.73 165.03 28.31
549 32.88 45.69 16.05 213.11 34.91
550 32.83 56.03 15.98 49.86 138.67
551 32.91 69.73 15.76 15.55 145.01
552 32.98 29.87 13.33 189.65 29.42
553 32.94 48.23 14.20 147.66 34.79
554 33.00 19.39 11.09 169.05 24.67
555 33.03 50.91 15.14 99.66 34.91
556 33.21 72.70 14.81 12.76 139.50
557 33.24 36.72 14.34 195.82 34.25
558 32.97 60.86 14.81 35.27 158.27
559 33.31 63.12 15.84 18.82 160.82
560 33.51 58.30 16.23 26.14 163.48
561 33.46 23.96 13.47 153.08 28.21
562 33.51 32.43 14.18 157.44 29.83
563 33.46 40.00 15.56 214.67 34.13
564 33.59 43.09 15.84 163.96 34.61
565 33.58 10.64 8.88 112.25 22.37
566 33.68 53.74 16.41 38.34 165.47
567 33.90 21.36 12.75 125.23 27.87
568 33.84 28.06 13.13 140.64 32.94
569 33.79 84.08 15.97 47.60 33.05
570 33.80 48.96 14.85 95.00 40.75
571 34.04 67.89 15.84 12.94 146.95
572 33.86 45.86 16.35 104.90 39.27
573 33.96 60.64 17.16 15.78 150.74
574 34.09 65.09 15.92 13.91 149.27
575 34.10 34.90 15.40 116.58 34.97
576 34.18 51.49 17.29 31.68 158.33
577 34.29 74.11 16.76 13.25 77.06
578 34.40 88.86 13.46 86.17 26.22
579 34.06 79.97 15.28 18.63 46.96
580 34.31 13.08 9.02 95.45 24.16
581 34.29 15.69 11.43 90.63 29.51
582 34.17 18.42 12.65 115.69 29.60
583 34.34 56.33 17.09 21.72 166.78
584 34.60 70.51 17.99 13.55 104.70
585 34.28 25.50 14.47 95.33 31.80
586 34.20 37.95 16.08 133.74 37.19
587 34.33 30.97 13.73 98.68 37.58
588 34.47 9.07 8.38 89.95 26.81
589 34.40 41.20 15.39 130.05 37.29
590 34.86 85.66 16.71 133.07 29.95
591 34.76 46.84 16.51 36.28 154.19
592 34.66 23.16 13.28 71.92 36.82
593 34.64 43.97 17.49 73.34 42.29
594 34.69 62.53 17.32 13.08 148.02
595 34.90 81.86 19.27 132.42 31.55
596 34.83 49.50 17.49 31.52 167.99
597 34.85 33.51 16.27 49.49 65.14
598 35.02 53.89 17.69 16.59 163.67
599 34.92 27.76 14.68 50.22 130.88
600 35.09 61.10 18.18 13.00 137.68
601 34.93 36.42 15.83 78.80 37.90
602 35.04 78.29 17.09 64.77 33.72
603 35.15 11.71 10.63 78.60 32.11
604 35.10 20.18 12.87 45.11 88.76
