#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ba3 14A 8 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
569 36.34 69.23 58.75 33.20 139.21
570 36.59 45.05 43.60 32.57 172.27
571 36.49 12.56 30.34 14.46 90.52
572 36.64 87.84 134.12 38.28 99.93
573 36.53 32.86 49.72 25.56 129.26
574 36.66 14.87 32.79 14.20 90.51
575 36.67 17.32 39.53 17.01 116.77
576 36.68 27.94 42.31 21.87 132.54
577 36.74 61.59 46.33 32.72 163.16
578 36.88 25.77 37.41 23.15 120.31
579 36.74 58.79 40.80 32.59 148.85
580 36.93 90.86 79.78 33.84 58.61
581 36.85 10.22 24.26 11.46 36.90
582 36.97 42.49 39.54 30.30 153.63
583 37.06 75.88 189.92 34.93 129.81
584 36.87 82.95 168.86 38.50 92.79
585 37.05 20.45 31.12 18.02 97.16
586 36.96 35.89 43.18 27.99 116.22
587 37.00 73.12 219.44 36.11 130.76
588 37.01 48.15 37.15 32.31 155.46
589 37.06 54.41 43.27 34.40 155.23
590 37.17 50.87 38.64 32.97 167.25
591 37.22 29.90 36.07 25.31 134.84
592 37.28 39.59 36.65 29.93 159.65
593 37.27 56.65 42.17 35.20 162.48
594 37.35 70.47 209.41 37.44 129.94
595 37.08 80.67 144.16 37.03 104.29
596 37.42 67.88 206.65 38.36 132.08
597 37.29 22.93 30.71 21.38 69.18
598 37.48 65.66 136.10 38.22 160.44
599 37.57 34.06 36.47 27.35 136.77
600 37.44 63.61 119.76 36.05 160.19
601 37.65 78.74 165.31 46.25 147.24
602 37.78 85.15 122.54 39.62 105.99
603 37.73 31.71 33.95 26.65 139.41
604 37.73 52.87 45.93 33.67 109.35
605 37.72 12.65 22.92 13.89 91.97
