#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
nk14 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
465 29.01 9.96 70.92 7.09 94.90
466 28.99 69.84 35.15 15.33 118.35
467 29.05 82.77 134.35 10.20 97.98
468 29.00 72.54 66.80 14.19 124.30
469 29.05 48.10 27.38 18.85 124.80
470 29.14 40.30 35.51 17.95 124.22
471 29.34 18.23 117.96 10.58 131.38
472 29.23 33.59 42.95 15.78 146.32
473 29.18 58.80 29.26 18.31 129.69
474 29.15 64.73 28.35 17.15 114.03
475 29.23 45.20 28.90 19.28 140.08
476 29.26 89.08 66.53 7.68 62.87
477 29.24 35.90 36.44 16.63 137.10
478 29.33 52.75 29.44 18.72 140.36
479 29.33 67.24 40.95 16.61 136.45
480 29.40 61.76 32.79 18.06 151.88
481 29.57 14.50 80.64 9.20 126.23
482 29.47 77.16 164.03 13.82 114.48
483 29.51 85.66 143.42 9.30 104.58
484 29.58 55.29 31.64 18.12 144.28
485 29.61 29.10 111.53 14.49 155.48
486 29.72 38.03 70.26 16.88 160.22
487 29.59 80.42 144.68 11.93 99.39
488 29.66 50.43 31.25 20.97 149.91
489 29.88 31.49 161.59 15.43 143.49
490 29.76 42.67 40.61 18.82 150.17
491 29.91 74.50 172.22 15.10 113.93
492 29.86 22.78 114.86 12.78 141.07
493 30.05 26.65 147.97 13.85 167.22
494 29.89 47.47 43.20 19.63 167.59
495 30.03 63.55 63.34 17.39 166.08
496 30.08 57.64 42.04 17.76 148.04
497 30.16 59.91 57.49 19.12 159.27
498 30.00 69.86 124.80 15.74 138.19
499 30.19 72.00 170.62 16.47 147.72
500 30.15 16.41 113.58 11.40 157.31
501 30.24 40.51 116.51 19.76 170.20
502 30.38 65.68 186.56 18.81 155.82
503 30.28 11.53 59.97 7.85 119.82
504 30.20 44.99 53.89 19.30 166.84
505 30.33 35.65 152.81 17.74 183.41
506 30.30 82.45 120.66 11.75 121.36
507 30.45 88.33 67.20 9.70 112.40
508 30.55 19.94 113.75 12.04 139.36
509 30.32 53.50 43.00 20.28 159.24
510 30.43 78.70 179.09 14.31 128.16
511 30.63 33.41 164.57 16.67 164.48
512 30.58 67.89 181.67 16.97 160.09
513 30.79 24.86 137.37 14.03 174.96
514 30.65 49.51 63.94 19.86 175.53
515 30.71 61.76 188.18 20.22 179.83
516 30.74 51.73 152.82 21.75 187.47
517 30.72 55.70 94.27 19.44 179.69
518 30.73 85.08 105.92 10.67 145.90
519 30.82 28.57 164.09 16.08 189.80
520 30.88 42.55 174.92 19.40 164.19
521 30.90 75.28 180.26 15.03 132.10
522 30.86 38.57 179.17 19.64 193.52
523 31.05 13.89 57.88 8.94 143.56
524 30.98 47.16 173.28 21.47 187.00
525 31.05 30.91 164.42 16.71 180.73
526 31.22 22.35 113.70 13.11 180.63
527 31.28 69.80 189.97 19.17 173.05
528 31.23 80.72 116.96 12.62 146.14
529 31.25 9.48 29.94 6.98 105.51
530 31.16 57.93 204.35 21.46 189.07
531 31.21 72.30 181.49 16.74 163.82
532 31.26 44.81 198.43 20.04 200.68
533 31.30 63.92 212.39 19.33 186.90
534 31.40 36.59 200.64 18.88 200.43
535 31.38 60.04 196.86 19.88 168.20
536 31.54 53.72 198.50 20.46 199.19
537 31.62 40.68 202.07 20.46 204.21
538 31.44 90.22 21.38 8.00 71.20
539 31.72 34.50 168.47 20.55 202.14
540 31.85 27.07 118.54 16.07 193.96
541 31.65 66.75 212.07 20.55 203.25
542 31.66 16.78 74.96 10.85 150.00
543 31.85 11.34 37.53 8.68 135.29
544 31.80 87.20 36.12 10.51 115.81
545 31.72 50.90 203.66 22.53 214.70
546 31.85 84.24 40.54 11.49 113.25
547 31.92 48.63 206.46 22.51 214.58
548 31.99 19.67 83.06 13.11 171.14
549 32.00 32.25 144.35 18.04 199.34
550 31.98 56.17 215.12 21.64 222.99
551 32.04 76.22 98.88 15.97 171.78
552 32.04 61.77 205.28 20.18 200.15
553 31.99 73.64 109.43 17.46 179.14
554 32.06 43.25 194.81 21.39 216.42
555 32.12 24.70 83.40 14.84 178.37
556 32.09 38.73 186.51 21.76 222.10
557 32.05 46.32 200.69 22.29 212.96
558 32.17 29.49 98.78 17.58 198.04
559 32.26 82.06 39.83 12.61 134.84
560 32.27 58.64 197.98 21.44 225.25
561 32.24 68.67 130.66 20.23 154.32
562 32.35 64.15 205.57 21.08 214.85
563 32.46 71.07 80.96 17.96 173.88
564 32.46 14.21 34.07 10.12 137.04
565 32.51 79.23 47.04 14.45 153.50
566 32.57 22.16 66.09 13.54 185.76
567 32.65 52.65 190.71 22.61 226.40
568 32.60 36.54 143.44 21.96 215.75
569 32.89 8.64 17.20 7.86 88.94
570 32.81 50.21 185.26 22.80 226.20
571 32.84 54.80 168.78 23.40 223.65
572 32.77 66.49 131.60 20.87 223.68
573 32.70 41.44 174.84 22.44 220.17
574 32.86 45.08 176.60 21.25 230.60
575 32.93 17.20 43.37 12.15 159.45
576 32.99 85.38 26.39 12.46 107.09
577 33.05 88.66 22.50 10.20 82.94
578 32.96 33.71 80.53 18.66 208.89
579 32.99 47.74 159.91 22.83 225.62
580 33.01 60.08 153.14 21.64 221.23
581 33.14 62.37 137.46 21.60 223.20
582 33.35 25.71 51.12 16.14 194.60
583 33.20 30.94 72.98 18.24 210.00
584 33.22 56.88 137.44 22.23 228.77
585 33.13 74.20 48.24 15.96 154.19
586 33.27 11.09 24.47 8.68 122.05
587 33.25 28.20 62.48 16.82 201.97
588 33.32 38.87 106.21 21.64 218.40
589 33.30 69.10 59.44 20.56 186.99
590 33.27 76.81 34.33 14.70 134.17
591 33.49 19.88 42.78 12.60 172.17
592 33.57 43.87 95.85 22.80 218.95
593 33.52 64.69 77.60 19.77 223.57
594 33.51 82.33 25.58 12.73 104.56
595 33.64 23.11 43.62 14.18 181.75
596 33.71 71.68 37.36 19.59 187.57
597 33.66 35.88 69.97 20.61 215.82
598 33.69 14.01 24.19 10.80 133.66
599 33.73 41.50 79.20 22.01 223.78
600 33.79 51.58 107.86 24.07 232.33
601 33.81 79.53 26.76 14.54 109.74
602 33.90 46.47 74.94 22.96 237.73
603 33.92 53.85 106.68 23.78 232.66
604 33.97 58.29 55.16 23.00 225.05
605 33.97 49.09 65.91 22.95 225.61
606 33.96 67.13 49.05 20.52 189.55
