#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kf9 14A 8 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
482 33.38 30.83 186.92 25.94 188.91
483 33.42 64.75 55.57 28.96 170.68
484 33.37 16.16 100.84 19.00 134.54
485 33.48 21.46 153.01 21.94 170.61
486 33.66 11.03 67.54 14.94 75.26
487 33.55 24.03 163.63 21.96 162.58
488 33.48 62.48 64.85 28.76 178.16
489 33.57 69.28 31.58 26.88 143.71
490 33.58 49.44 145.24 31.47 193.58
491 33.58 76.69 25.72 22.49 126.72
492 33.67 89.04 23.14 15.65 55.56
493 33.63 40.95 161.86 29.62 206.27
494 33.77 55.99 86.00 32.47 215.49
495 33.90 28.49 167.02 23.81 188.43
496 33.80 60.01 72.83 28.32 173.74
497 33.80 73.99 26.56 24.87 136.60
498 33.77 45.18 143.14 29.01 208.67
499 33.96 38.48 155.96 30.07 197.97
500 34.03 13.67 88.47 17.65 105.67
501 34.30 43.04 114.10 31.70 205.41
502 34.15 53.72 63.76 30.86 198.61
503 34.21 66.56 33.92 27.79 157.64
504 34.25 83.27 32.40 20.32 107.59
505 34.22 33.28 154.56 27.32 192.43
506 34.24 51.47 80.19 32.53 209.14
507 34.27 86.37 33.40 19.65 94.21
508 34.43 19.51 78.32 18.46 148.42
509 34.34 71.29 25.97 26.65 140.66
510 34.37 47.34 92.71 31.32 201.92
511 34.39 57.92 56.82 30.73 199.47
512 34.49 79.12 24.59 22.65 112.08
513 34.58 35.74 108.92 29.70 189.45
514 34.52 90.95 72.97 17.58 40.95
515 34.65 8.92 22.50 12.73 33.07
516 34.55 16.61 71.20 18.74 148.02
517 34.71 25.62 93.09 22.33 173.63
518 34.69 62.15 38.26 29.28 174.94
519 34.71 30.56 96.58 24.43 189.56
520 34.53 84.52 32.74 23.26 114.07
521 34.73 22.66 95.02 21.28 163.54
522 34.86 64.30 31.41 30.48 165.82
523 34.82 40.36 89.58 29.11 200.56
524 34.87 68.71 26.17 28.65 152.69
525 34.89 76.32 27.91 25.82 127.20
526 34.96 49.76 50.91 31.20 192.57
527 35.08 55.29 39.01 30.33 184.38
528 35.08 60.07 37.94 31.31 190.99
529 34.99 73.62 27.50 25.83 139.22
530 34.98 88.82 103.32 18.43 69.93
531 35.10 45.13 57.66 32.20 194.78
532 35.22 11.37 42.55 15.14 90.36
533 35.29 81.60 65.54 24.87 112.30
534 35.22 28.15 73.63 24.37 178.39
535 35.23 37.78 67.18 29.63 199.81
536 35.32 52.53 39.74 29.83 192.05
537 35.44 14.75 42.81 16.53 124.17
538 35.39 32.64 79.25 28.35 199.29
539 35.54 87.39 122.25 21.91 102.40
540 35.51 42.33 57.70 32.45 197.11
541 35.55 66.03 27.84 29.43 149.85
542 35.56 47.96 47.52 33.40 198.75
543 35.56 58.06 37.16 32.78 186.47
544 35.76 84.25 115.47 25.41 107.78
545 35.69 18.25 45.18 19.92 172.53
546 35.66 71.15 30.09 28.77 127.17
547 35.77 21.25 49.77 20.71 165.84
548 35.73 79.07 60.53 27.44 121.87
549 36.18 90.51 118.15 21.98 56.95
550 35.93 24.26 58.53 22.59 166.70
551 35.82 35.26 59.97 29.46 196.66
552 36.05 39.81 46.50 33.45 200.27
553 35.99 63.00 30.68 30.75 183.78
554 36.02 67.99 28.30 30.15 142.70
555 36.16 30.02 48.70 26.22 175.97
556 36.21 26.80 41.65 24.36 162.96
557 36.13 74.36 54.44 31.04 142.57
558 36.15 76.87 69.48 28.49 134.30
559 36.23 46.25 40.43 31.55 195.91
560 36.18 56.01 33.02 31.32 178.40
561 36.16 50.68 32.95 31.44 183.90
562 36.35 44.02 39.54 34.63 186.18
563 36.31 60.63 31.93 32.81 174.53
564 36.46 53.64 32.97 32.77 181.63
565 36.53 13.29 30.09 17.85 125.79
566 36.62 10.49 20.33 14.63 58.23
567 36.51 32.60 42.84 26.78 185.07
568 36.56 37.57 41.68 29.70 186.28
569 36.60 81.33 147.90 26.42 94.31
570 36.70 16.59 29.81 20.84 148.01
571 36.85 86.51 144.43 31.12 107.36
572 36.81 41.71 35.18 34.87 194.54
573 36.79 64.83 33.03 32.26 173.98
574 36.78 58.30 31.96 34.06 166.90
575 36.78 69.73 48.07 31.50 148.24
576 36.81 19.67 27.47 20.52 160.70
577 36.85 48.47 33.55 32.01 194.17
578 36.79 72.33 88.13 30.59 145.26
579 36.94 22.80 33.26 22.48 163.54
580 37.14 93.87 53.81 15.92 12.83
581 36.94 35.08 37.44 29.04 192.81
582 37.06 78.43 164.68 34.02 131.44
583 37.26 28.22 34.86 26.10 170.16
584 37.22 62.60 36.82 35.14 175.18
585 37.16 66.79 40.98 30.76 152.87
586 37.23 51.72 33.80 33.54 182.92
587 37.20 83.43 135.14 26.40 81.98
588 37.36 25.42 32.99 23.78 171.66
589 37.22 75.60 168.30 29.57 119.50
590 37.47 39.88 32.18 31.65 169.40
591 37.34 55.76 33.22 30.43 174.73
592 37.51 30.48 32.34 27.49 165.58
593 37.38 45.84 32.07 34.28 182.69
594 37.34 91.85 79.53 21.16 30.26
595 37.49 88.91 108.59 29.56 62.83
596 37.60 60.32 46.23 34.30 173.53
597 37.70 43.29 35.48 37.12 187.72
598 37.70 32.56 32.82 29.16 173.12
599 37.79 12.72 22.30 17.91 97.33
600 37.72 15.06 22.61 19.22 128.64
601 37.84 49.53 35.12 35.49 183.81
602 37.98 80.02 167.26 33.65 123.59
603 37.80 21.23 29.39 24.24 171.45
604 37.84 37.36 34.30 31.75 173.46
605 37.99 53.73 44.64 36.24 187.34
