#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ra7 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
541 32.72 72.23 39.52 16.78 151.64
542 32.67 48.46 199.28 18.34 230.00
543 32.75 35.64 188.87 16.83 221.51
544 32.72 50.63 161.53 18.13 230.53
545 32.83 55.47 176.49 17.88 235.17
546 32.79 46.16 194.44 17.68 226.79
547 32.89 38.13 183.03 16.50 221.00
548 33.04 84.64 26.47 15.28 79.23
549 33.02 44.21 211.44 17.40 237.92
550 33.04 81.63 26.75 13.83 87.38
551 33.08 63.01 52.65 16.38 207.33
552 33.09 52.61 152.06 19.47 224.92
553 33.09 57.76 81.51 17.91 229.51
554 33.19 41.77 177.35 17.01 228.58
555 33.20 60.42 54.82 17.44 223.56
556 33.25 65.47 51.55 17.18 205.67
557 33.34 74.57 29.99 15.40 110.82
558 33.32 13.30 62.24 9.51 172.75
559 33.32 16.36 78.00 10.45 187.24
560 33.36 22.95 110.17 13.34 211.06
561 33.32 31.00 185.48 16.06 226.13
562 33.36 67.78 41.23 17.13 188.01
563 33.44 25.49 129.74 13.26 214.01
564 33.60 18.44 89.68 11.76 186.06
565 33.61 70.14 32.32 16.20 152.03
566 33.63 47.83 156.54 19.28 235.08
567 33.71 33.72 159.47 15.97 232.37
568 33.68 50.03 125.63 17.37 241.53
569 33.77 28.13 131.54 14.87 214.70
570 33.77 36.68 125.56 15.42 235.42
571 33.86 54.31 94.96 18.02 240.52
572 33.94 77.05 29.78 16.38 87.64
573 34.14 87.92 104.12 18.95 38.55
574 33.84 39.30 133.26 16.24 202.68
575 34.06 72.64 29.27 16.38 110.50
576 34.06 20.69 74.97 12.71 202.95
577 34.09 45.95 120.00 17.86 233.47
578 34.05 56.60 50.59 18.31 228.47
579 34.15 59.03 44.31 18.04 228.08
580 34.09 86.08 97.16 19.52 43.84
581 34.16 43.58 119.26 17.94 239.22
582 34.22 79.37 27.74 16.55 68.00
583 34.12 10.23 31.22 8.76 108.74
584 34.18 41.06 134.48 17.59 237.44
585 34.20 61.78 40.91 17.72 211.46
586 34.27 51.65 78.77 18.39 234.98
587 34.31 64.00 33.98 18.36 187.09
588 34.22 81.99 31.06 17.47 60.92
589 34.27 15.00 50.80 11.34 177.05
590 34.33 31.87 137.66 16.17 216.48
591 34.43 66.30 30.56 18.51 157.72
592 34.38 84.40 76.85 15.77 42.77
593 34.47 24.00 73.93 14.07 210.16
594 34.61 29.90 89.26 15.29 223.03
595 34.56 12.49 35.41 10.25 164.11
596 34.56 68.51 29.77 17.81 122.62
597 34.45 89.99 71.60 15.29 14.74
598 34.77 26.23 59.33 14.16 209.89
599 34.71 74.89 29.86 15.95 76.76
600 34.71 35.24 70.22 16.79 220.33
601 34.79 17.40 61.91 12.29 187.72
602 34.67 48.50 104.21 21.10 228.58
603 34.78 37.64 72.77 16.90 223.87
604 34.90 70.70 28.31 18.36 95.91
605 34.97 53.45 48.16 19.51 237.45
606 35.16 55.47 38.25 19.16 212.08
