#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
gb8 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
422 29.58 49.24 163.32 37.18 165.37
423 29.72 22.67 128.33 26.46 121.42
424 29.52 37.50 128.46 32.00 149.56
425 29.66 51.46 172.85 35.53 165.65
426 29.76 19.92 137.88 24.77 127.98
427 29.78 47.00 178.58 36.58 158.43
428 29.68 68.73 126.97 26.16 134.42
429 29.89 33.13 132.13 34.88 150.78
430 29.80 83.16 80.57 22.74 82.33
431 29.96 39.70 165.38 35.14 158.32
432 29.96 57.89 170.55 36.19 161.12
433 30.06 25.33 134.39 29.40 131.75
434 30.02 62.01 166.44 30.69 139.56
435 30.22 86.17 65.87 23.11 50.18
436 30.13 11.70 105.08 22.70 105.69
437 30.29 14.67 124.36 23.03 110.91
438 30.17 66.48 118.30 30.93 143.49
439 30.23 71.30 97.84 29.32 122.13
440 30.45 27.62 138.21 30.16 136.48
441 30.32 41.94 185.49 36.78 171.82
442 30.37 44.31 176.92 35.94 159.71
443 30.54 64.29 125.07 33.66 142.06
444 30.37 76.93 80.30 25.54 101.57
445 30.40 80.36 80.39 25.74 91.48
446 30.51 30.62 147.94 33.99 147.94
447 30.48 59.83 162.20 33.46 156.80
448 30.66 35.17 169.46 35.01 153.10
449 30.59 55.84 162.94 36.15 161.42
450 30.70 37.41 169.98 34.61 143.27
451 30.74 53.82 152.55 35.23 164.16
452 30.78 74.05 84.42 26.91 113.55
453 30.74 48.69 171.64 36.39 155.43
454 30.76 51.34 162.22 35.71 160.56
455 31.00 17.72 152.26 24.60 114.01
456 30.97 20.79 152.53 27.85 120.04
457 30.95 68.26 98.15 30.86 133.66
458 31.02 46.24 185.85 36.21 159.52
459 31.27 23.47 151.46 28.40 128.26
460 31.15 83.25 85.42 24.15 67.40
461 31.27 8.95 98.66 20.69 89.28
462 31.23 32.98 169.20 32.31 147.44
463 31.09 62.11 141.05 35.42 164.29
464 31.26 39.80 186.77 35.80 146.74
465 31.33 57.69 154.06 34.92 160.29
466 31.42 11.90 126.41 22.26 106.01
467 31.48 42.23 190.77 37.42 156.16
468 31.41 70.54 85.96 31.10 126.31
469 31.41 78.67 76.54 27.14 92.33
470 31.65 25.77 161.54 31.94 133.57
471 31.50 65.95 94.15 32.83 140.12
472 31.53 85.73 86.04 26.53 44.56
473 31.64 28.22 165.52 31.42 144.48
474 31.68 15.03 139.75 24.21 121.93
475 31.76 59.83 114.78 37.24 151.92
476 31.80 30.64 168.23 33.48 140.13
477 31.82 44.46 183.68 36.56 160.13
478 31.82 55.52 142.29 37.31 168.29
479 31.82 48.74 179.18 36.28 166.65
480 31.84 75.84 74.78 29.62 96.79
481 31.89 53.44 145.92 37.11 163.44
482 31.90 51.07 168.15 37.25 161.15
483 31.93 72.96 79.09 31.31 112.60
484 31.99 37.40 171.24 35.44 147.80
485 32.05 81.46 92.20 27.94 72.95
486 32.14 35.08 170.97 34.88 149.53
487 32.10 62.14 101.67 36.97 153.25
488 32.32 18.09 141.36 26.86 121.49
489 32.29 20.82 150.70 28.25 125.45
490 32.32 46.71 175.10 37.56 167.79
