#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
mn10 14A 4 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
432 31.66 17.09 97.13 19.19 158.55
433 31.69 26.01 110.72 22.67 192.98
434 31.73 47.50 151.31 37.81 234.94
435 31.72 59.30 165.01 38.16 232.73
436 31.75 79.87 89.95 30.87 173.51
437 31.99 30.87 134.68 27.46 215.29
438 32.14 57.10 195.62 38.93 224.20
439 31.99 83.17 75.66 28.96 157.70
440 31.85 37.84 133.82 31.61 224.66
441 31.98 33.28 138.11 28.34 211.69
442 32.06 40.70 143.84 32.30 223.00
443 32.08 49.70 156.90 36.80 235.44
444 32.14 86.10 66.60 26.78 136.98
445 32.14 63.16 142.89 34.09 218.16
446 32.27 72.34 113.45 34.24 192.77
447 32.41 65.64 142.00 35.74 216.36
448 32.50 74.82 101.02 34.05 180.49
449 32.48 77.88 87.64 31.68 167.74
450 32.64 60.87 154.33 39.45 225.98
451 32.74 89.36 57.45 25.39 69.56
452 32.43 13.50 129.76 17.62 125.38
453 32.52 35.82 178.44 28.81 216.89
454 32.58 24.36 151.11 23.55 184.81
455 32.60 44.09 149.38 32.63 226.26
456 32.69 51.60 170.00 36.25 229.59
457 32.85 54.16 169.33 38.79 225.88
458 32.63 69.59 113.31 34.24 210.00
459 32.79 21.74 157.86 22.76 170.03
460 32.63 28.60 161.09 26.89 201.25
461 32.84 46.41 153.33 37.03 232.24
462 32.86 18.96 148.44 20.12 163.46
463 32.99 16.40 148.38 18.93 147.95
464 33.00 58.72 159.78 39.35 228.78
465 32.90 38.36 172.30 29.22 223.12
466 33.01 80.47 77.96 31.67 163.15
467 33.33 10.93 144.91 16.24 101.56
468 33.23 48.44 162.39 37.09 236.24
469 33.22 31.65 171.83 30.33 199.64
470 33.29 26.66 177.34 23.93 192.56
471 33.14 40.63 164.88 30.99 223.07
472 33.33 67.58 115.58 36.70 209.12
473 33.24 34.12 179.20 29.69 219.04
474 33.32 56.15 166.64 39.92 227.88
475 33.48 42.74 171.34 38.10 228.44
476 33.44 83.81 74.02 31.12 154.06
477 33.35 86.92 68.65 30.58 129.75
478 33.32 62.86 125.95 39.35 223.00
479 33.29 81.78 72.64 31.11 161.47
480 33.71 50.29 155.76 38.89 230.57
481 33.54 71.68 92.45 34.00 191.19
482 33.63 75.74 83.86 35.50 186.23
483 33.73 65.29 106.19 36.24 210.76
484 33.71 14.23 149.90 18.25 133.21
485 33.73 29.29 181.47 28.49 196.90
486 33.71 36.72 177.23 31.42 214.42
487 33.87 78.29 78.70 34.50 175.19
488 33.85 23.77 176.69 23.58 170.80
489 33.96 44.86 157.12 34.56 223.03
490 33.88 52.41 146.19 39.64 232.01
491 33.95 20.34 169.10 21.89 155.78
492 34.09 60.52 114.94 39.51 227.33
493 34.21 69.30 108.76 42.82 236.01
494 34.14 39.17 187.64 33.07 221.66
495 34.32 73.47 86.95 35.95 195.45
496 34.16 58.02 120.50 39.09 225.36
497 34.22 47.17 139.64 36.65 230.46
498 34.26 33.37 162.98 29.86 212.52
499 34.47 17.67 153.42 21.15 137.95
500 34.37 41.44 164.44 35.05 221.26
501 34.40 55.71 131.98 40.78 232.16
502 34.45 81.09 74.66 33.23 158.22
503 34.48 26.35 182.14 25.11 185.01
504 34.38 63.05 97.56 37.20 217.89
505 34.53 85.54 83.79 34.88 144.14
506 34.62 88.20 83.21 34.74 108.40
507 34.69 9.60 116.13 15.38 77.13
508 34.68 30.88 170.03 28.44 201.34
509 34.65 53.90 138.44 42.18 232.80
510 34.67 35.61 167.79 31.06 218.65
511 34.77 11.97 141.18 16.95 121.25
512 34.78 66.99 92.21 39.10 211.82
513 34.89 49.94 129.83 37.81 228.74
514 34.98 28.62 180.67 26.38 180.11
515 34.66 13.14 166.36 17.09 114.27
516 34.97 37.96 169.28 31.36 222.43
517 35.07 71.17 81.09 37.52 198.65
518 35.08 14.91 139.94 18.77 146.17
519 35.03 21.55 157.69 22.58 171.04
520 35.03 75.90 84.76 36.75 184.20
521 35.11 43.67 140.54 33.99 223.80
522 35.13 83.56 88.36 36.35 163.81
523 35.26 51.97 125.16 42.12 229.84
524 35.25 24.19 165.27 22.38 177.42
525 35.18 59.44 96.53 39.67 228.51
526 35.17 47.80 130.38 37.34 229.12
527 35.32 63.96 88.63 39.92 217.55
528 35.36 78.46 83.39 39.06 180.88
529 35.51 45.71 126.15 37.86 225.67
530 35.36 32.66 154.46 29.18 205.01
531 35.39 57.04 102.37 38.90 224.05
532 35.54 61.50 88.69 41.04 225.04
533 35.48 41.28 135.94 32.70 227.01
534 35.85 19.25 134.56 21.24 158.99
535 35.75 69.03 79.53 39.92 202.97
536 35.73 73.37 79.95 37.31 196.14
537 35.82 89.45 104.34 44.06 108.60
538 35.91 36.72 137.86 31.68 220.98
539 35.85 80.97 87.74 40.44 174.19
540 35.81 54.18 105.27 41.62 231.23
541 36.01 34.62 140.86 29.20 206.84
542 35.99 39.23 127.81 33.55 222.09
543 35.90 65.61 77.15 39.50 216.35
544 35.99 26.20 157.48 25.87 181.87
545 35.95 86.36 100.54 40.90 146.45
546 36.19 16.75 126.62 20.72 159.61
547 36.15 11.52 109.92 17.22 124.20
548 36.25 30.75 145.73 28.79 196.25
549 36.30 28.44 148.96 28.32 199.50
550 36.23 48.48 99.02 36.64 223.57
551 36.51 9.11 84.81 15.80 83.66
552 36.34 50.55 99.35 40.09 229.95
553 36.34 21.98 140.45 23.20 172.57
554 36.37 58.55 87.97 42.73 231.44
555 36.38 76.11 90.18 40.27 191.53
556 36.64 14.29 105.61 19.53 138.06
557 36.54 42.40 107.54 35.12 222.82
558 36.60 44.50 97.70 35.50 224.44
559 36.50 56.09 87.00 43.41 234.93
560 36.59 67.43 79.59 41.76 220.10
561 36.63 71.02 83.67 43.82 204.98
562 36.76 32.77 124.83 29.44 197.61
563 36.73 52.45 97.51 41.30 228.49
564 36.65 63.31 81.46 42.28 222.00
565 36.72 60.78 82.08 41.95 230.30
566 36.92 78.70 107.06 46.33 184.43
567 36.88 91.40 98.55 46.62 67.50
568 36.97 24.18 118.00 24.68 181.35
569 36.98 46.81 88.84 38.40 224.89
570 37.07 84.49 105.52 46.88 161.43
571 37.05 73.55 95.74 42.11 201.21
572 36.97 81.82 115.40 48.69 179.22
573 37.06 40.10 98.07 33.26 211.51
574 37.16 87.25 107.97 48.93 137.55
575 37.11 37.39 107.48 32.16 205.64
576 37.27 54.45 86.61 40.78 230.00
577 37.36 65.39 83.37 42.16 224.20
578 37.40 17.96 91.82 22.32 153.21
579 37.35 35.06 105.18 31.01 210.97
580 37.43 26.93 105.36 27.76 184.16
581 37.60 7.20 54.16 14.32 50.37
582 37.51 20.86 97.45 22.49 151.40
583 37.44 29.84 106.98 29.52 190.23
584 37.55 49.07 89.25 44.00 230.31
585 37.68 68.50 94.36 46.18 217.70
586 37.61 12.29 87.86 19.36 124.57
587 37.70 56.86 77.85 43.97 227.85
588 37.67 59.12 82.71 42.31 232.45
589 37.78 43.01 87.74 38.90 229.14
590 37.75 51.25 86.85 42.79 226.36
591 37.68 61.78 85.30 47.36 238.22
592 37.75 75.47 114.79 46.21 194.68
593 37.88 45.20 81.07 38.11 225.70
594 37.88 70.94 110.87 46.09 219.87
595 38.11 9.96 68.97 17.50 101.53
596 38.01 32.48 91.07 29.78 203.96
597 38.16 15.32 76.94 20.22 140.49
598 38.11 38.74 94.01 36.80 211.86
599 38.23 41.18 89.31 38.94 227.03
600 38.09 78.23 125.16 52.58 185.16
601 38.16 89.50 113.03 57.60 100.97
602 38.13 82.02 130.05 54.37 164.78
603 38.14 24.35 87.68 24.90 164.40
604 38.26 53.86 85.75 43.79 234.25
605 38.41 63.36 100.80 49.36 228.48
