#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
em39 14A 4 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
573 32.28 45.05 14.84 183.29 73.91
574 32.22 63.02 15.96 92.89 125.72
575 32.34 81.15 15.35 63.50 114.52
576 32.39 14.48 10.68 139.50 54.82
577 32.23 26.23 13.97 164.47 56.37
578 32.31 47.93 15.89 196.20 94.60
579 32.49 39.36 14.64 163.84 84.61
580 32.48 21.25 12.69 164.08 58.10
581 32.46 41.78 16.16 171.81 80.55
582 32.75 59.33 16.02 96.87 138.76
583 32.60 69.38 15.58 87.23 139.78
584 32.65 74.11 15.78 81.96 140.37
585 32.44 89.77 8.70 16.88 36.38
586 32.79 18.56 12.73 142.87 63.96
587 32.84 49.67 16.24 138.20 125.34
588 32.78 66.99 15.96 69.94 129.73
589 32.71 36.79 14.73 149.23 73.40
590 32.89 86.08 13.73 47.98 96.63
591 32.85 56.85 15.80 105.82 149.90
592 32.94 12.03 10.12 92.57 63.39
593 33.05 54.26 15.84 113.34 142.14
594 32.91 30.83 14.68 139.65 92.49
595 33.21 64.42 16.50 73.94 143.65
596 33.05 28.25 14.47 148.12 92.20
597 33.32 78.93 16.83 70.67 116.85
598 33.24 34.65 14.27 136.31 117.06
599 33.25 16.27 11.77 131.75 85.75
600 33.28 61.61 16.19 76.08 156.08
601 33.32 71.53 15.90 75.50 136.34
602 33.41 89.04 11.28 33.99 52.85
603 33.35 51.72 15.59 113.04 158.30
604 33.25 46.17 15.68 165.55 121.83
