#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
pf10 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
344 25.45 65.31 100.86 17.24 164.88
345 25.58 68.05 105.56 17.15 155.60
346 25.75 76.74 91.32 16.14 138.82
347 25.59 74.08 90.61 16.85 133.38
348 25.75 47.31 77.27 17.95 183.66
349 25.69 57.99 114.75 18.02 180.33
350 25.81 13.29 27.89 7.92 102.54
351 25.79 55.48 106.24 18.23 181.05
352 25.92 27.68 35.13 12.12 145.45
353 26.01 52.97 98.53 17.06 194.00
354 26.03 32.90 43.62 13.16 154.64
355 26.07 42.79 61.89 16.29 183.22
356 26.05 81.43 62.41 15.28 113.34
357 26.00 38.02 49.46 13.61 174.15
358 26.18 35.27 47.84 13.49 163.83
359 26.18 61.22 122.29 18.55 188.70
360 26.38 30.38 44.99 13.23 158.82
361 26.45 22.78 35.75 9.93 130.85
362 26.36 40.54 64.81 15.88 186.73
363 26.38 50.60 103.22 18.10 196.51
364 26.45 16.65 40.80 9.22 121.86
365 26.61 11.09 39.94 6.99 92.32
366 26.56 63.83 118.74 17.98 179.65
367 26.68 19.62 39.76 9.91 133.25
368 26.65 69.31 122.18 18.82 171.19
369 26.61 78.84 78.57 17.13 124.39
370 26.80 25.78 41.73 10.94 152.91
371 26.80 45.51 92.80 16.16 199.67
372 26.83 66.63 122.20 19.73 169.91
373 26.85 83.54 56.22 13.76 93.90
374 26.86 48.13 105.41 16.99 200.12
375 26.91 57.02 128.73 19.85 194.07
376 27.07 71.57 105.11 18.60 154.17
377 26.93 74.40 90.33 17.36 136.08
378 27.07 59.39 133.04 18.90 190.08
379 27.11 36.72 72.71 15.22 182.56
380 27.16 54.59 123.02 19.81 201.99
381 27.33 28.54 55.92 12.65 165.46
382 27.26 39.02 84.61 16.19 199.16
383 27.38 14.42 54.70 8.99 123.63
384 27.22 32.25 61.99 13.22 177.44
385 27.34 52.28 122.15 18.86 204.59
386 27.33 43.29 98.27 17.86 199.21
387 27.53 86.19 42.84 12.41 68.39
388 27.60 34.42 82.33 14.65 192.20
389 27.50 61.71 130.74 20.68 187.93
390 27.66 76.67 78.99 17.81 121.98
391 27.68 80.48 62.73 15.27 104.19
392 27.81 41.11 101.79 16.16 203.74
393 27.73 50.01 121.44 18.37 208.08
394 27.69 17.32 60.99 9.86 142.82
395 27.79 21.38 57.51 10.35 148.71
396 27.75 64.98 124.82 20.22 178.92
397 27.87 23.98 59.53 10.53 158.27
398 27.99 47.23 121.44 18.32 214.88
399 27.97 68.40 109.36 19.12 160.78
400 28.19 30.72 77.71 12.93 179.35
401 28.24 11.95 65.25 7.63 110.87
402 28.22 26.54 77.24 12.13 165.52
403 28.23 45.07 112.67 16.91 204.91
404 28.23 56.02 134.17 20.21 198.32
405 28.20 73.21 87.82 18.69 139.57
406 28.30 83.56 55.80 16.09 92.57
407 28.33 58.53 133.80 19.32 199.95
408 28.39 36.27 108.26 14.39 190.68
409 28.48 38.68 119.23 16.36 203.40
410 28.47 53.43 130.74 19.45 205.93
411 28.59 19.11 74.69 10.20 150.54
412 28.55 63.11 127.87 21.82 191.64
413 28.72 33.06 93.37 13.82 190.22
414 28.83 70.69 92.72 20.89 148.57
415 28.72 42.72 121.54 16.61 212.20
416 28.80 60.76 124.81 19.57 190.34
417 28.86 28.73 92.97 13.03 177.15
418 28.97 78.52 67.92 17.52 103.92
419 28.76 15.55 77.67 9.11 135.65
420 28.83 48.76 121.06 18.10 207.80
421 28.94 51.10 128.24 19.14 213.04
422 28.96 86.11 45.16 14.18 55.81
423 28.98 75.68 75.43 18.60 114.40
424 29.03 65.51 103.20 20.97 163.75
425 29.04 81.32 64.58 16.67 90.85
426 29.23 21.59 83.56 11.10 151.43
427 29.31 24.16 85.48 11.06 157.08
428 29.23 40.44 134.15 17.15 214.63
429 29.37 68.06 93.95 21.04 148.26
430 29.43 46.60 123.58 17.80 214.79
431 29.46 57.14 123.49 20.83 197.24
432 29.43 35.22 127.98 15.40 204.04
433 29.53 54.86 123.33 21.52 203.14
434 29.59 44.24 130.42 17.24 212.10
435 29.59 11.26 90.69 7.69 119.23
436 29.65 26.63 106.66 12.90 173.44
437 29.75 31.17 111.28 14.03 184.15
438 29.58 37.65 135.03 15.63 203.13
439 29.64 73.37 82.25 20.31 116.53
440 29.80 18.10 94.61 10.14 145.77
441 29.77 13.93 102.42 9.11 141.70
442 29.69 84.00 59.70 18.94 70.79
443 29.87 59.36 114.89 21.53 189.65
444 29.82 62.75 95.83 19.36 163.97
445 29.86 52.73 121.44 20.55 204.13
446 30.02 49.10 116.94 19.04 208.06
447 30.23 33.50 121.32 14.87 189.25
448 30.18 41.80 129.62 17.51 211.92
449 29.84 82.58 68.72 18.28 68.89
450 30.21 28.80 128.89 13.94 196.66
451 30.29 70.80 81.31 21.05 134.22
452 30.31 76.63 65.00 19.75 90.77
453 30.38 65.57 87.86 21.84 162.59
454 30.37 80.43 64.60 20.47 74.27
455 30.40 86.13 57.62 17.21 51.98
456 30.45 39.24 128.97 16.27 205.47
457 30.53 9.15 79.87 7.75 93.23
458 30.51 21.72 106.27 11.41 160.44
459 30.61 24.98 113.18 12.16 171.77
460 30.62 36.25 137.01 14.60 198.09
461 30.70 68.07 83.73 21.74 139.79
462 30.74 46.44 112.88 18.16 206.71
463 30.71 56.07 96.60 21.83 197.42
464 30.89 15.88 108.32 10.21 139.59
465 30.77 51.21 108.58 20.22 203.67
466 30.79 60.83 90.93 22.02 171.71
467 30.85 44.00 127.31 18.32 214.46
468 31.06 73.89 71.31 22.29 98.73
469 31.11 18.89 102.03 10.70 147.48
470 31.12 53.79 93.52 20.59 191.00
471 31.07 58.28 89.42 23.08 175.82
472 31.06 12.57 101.03 9.51 133.11
473 31.12 63.37 75.64 22.87 140.02
474 31.23 30.20 113.36 14.45 182.14
475 31.32 88.31 46.96 17.11 33.61
476 31.37 27.43 116.58 13.38 176.66
477 31.40 78.31 67.52 21.72 69.23
478 31.41 32.88 111.00 15.96 192.07
479 31.27 48.89 108.43 20.22 194.62
480 31.30 83.62 69.67 20.05 49.85
481 31.13 85.36 61.96 18.43 47.43
482 31.44 41.48 115.00 17.83 202.84
483 31.61 23.75 111.48 12.56 162.32
484 31.58 38.82 133.46 16.62 205.96
485 31.59 71.07 74.62 23.88 111.30
486 31.79 65.97 68.18 23.52 124.17
487 31.65 81.10 70.58 23.03 55.10
488 31.69 35.91 125.39 16.25 194.65
489 31.92 9.96 82.03 9.22 106.30
490 31.95 68.53 74.76 24.69 118.90
491 32.09 21.16 105.35 11.97 151.20
492 32.02 44.66 98.49 20.01 202.58
493 32.07 51.65 83.40 20.78 179.10
494 32.01 75.80 73.92 24.06 69.35
495 32.10 56.42 77.45 22.99 165.37
496 32.04 61.32 69.72 23.44 140.64
497 32.09 47.13 101.59 19.47 195.96
498 31.87 84.45 60.50 20.36 55.79
499 32.35 16.48 85.93 10.86 126.23
500 32.32 59.04 67.74 23.52 150.42
501 32.54 86.22 65.70 23.27 33.93
502 32.24 15.04 103.08 10.00 136.82
503 32.33 13.17 92.90 10.01 129.37
504 32.37 53.99 74.36 20.70 173.43
505 32.37 31.07 100.35 16.25 179.63
506 32.42 63.77 65.36 24.56 120.94
507 32.59 26.18 108.37 14.23 166.45
508 32.50 49.45 84.38 20.48 169.88
509 32.48 72.98 76.84 24.40 76.12
510 32.59 34.19 99.89 15.73 183.81
511 32.57 18.79 96.28 11.92 146.98
512 32.59 42.48 91.20 19.11 188.23
513 32.61 89.14 43.64 17.94 23.83
514 32.79 28.72 97.89 15.36 172.87
515 32.67 37.49 107.02 16.50 193.97
516 32.73 40.07 100.02 17.28 196.99
517 32.84 78.25 80.13 23.96 47.48
518 32.90 80.46 86.01 25.59 40.43
519 33.08 8.24 61.13 8.40 89.98
520 32.91 23.49 101.76 13.68 157.52
521 33.19 83.75 80.69 25.67 35.99
522 32.95 70.07 74.22 25.82 80.42
523 32.99 81.98 81.22 27.64 37.80
524 33.09 67.14 71.86 25.75 92.58
525 33.16 46.06 81.36 20.54 175.48
526 33.24 11.27 74.27 10.28 117.71
527 33.36 55.27 60.90 23.18 141.56
528 33.38 61.63 62.74 25.98 113.83
529 33.46 32.03 77.92 17.43 173.75
530 33.45 57.86 67.77 23.94 140.58
531 33.50 52.81 67.52 23.86 149.20
532 33.51 74.73 87.10 28.00 53.50
533 33.59 43.93 70.40 19.72 172.14
534 33.64 14.52 68.96 11.10 125.11
535 33.74 36.27 82.49 18.16 180.79
536 33.71 48.09 70.98 21.26 146.61
537 33.73 50.49 70.07 21.29 145.83
538 33.58 64.30 65.54 27.65 100.15
539 33.86 20.13 78.40 12.18 139.91
540 33.87 17.44 67.56 11.78 133.20
541 33.82 71.82 90.92 28.24 55.34
542 33.94 41.52 69.16 18.46 174.47
543 33.93 87.98 64.47 25.91 21.88
544 34.01 34.11 73.92 16.98 181.63
545 33.99 38.98 72.77 17.58 168.76
546 34.17 25.20 73.01 13.98 150.97
547 34.10 27.56 77.90 15.44 158.31
548 34.11 22.66 78.97 13.25 146.10
549 34.20 30.00 71.28 16.12 162.32
550 34.18 59.76 64.09 27.59 119.64
551 34.05 79.78 94.76 25.48 33.17
552 34.29 76.72 92.18 28.17 35.59
553 34.19 68.86 87.53 29.35 60.11
554 34.30 66.08 81.91 28.35 78.85
555 34.58 84.75 91.26 28.47 23.41
556 34.53 9.17 53.59 8.72 100.10
557 34.41 56.15 62.55 25.21 117.13
558 34.31 78.37 95.95 31.79 32.47
559 34.74 46.35 64.33 22.41 131.38
560 34.78 82.09 91.94 29.84 24.48
561 34.48 12.36 56.65 10.47 120.74
562 34.65 62.78 68.69 29.06 81.04
563 34.72 52.17 63.13 25.30 117.74
564 34.95 32.32 62.63 17.79 152.97
565 34.80 43.82 59.09 20.23 130.98
566 34.89 49.08 62.18 24.54 105.91
567 34.90 73.33 95.87 31.60 37.38
568 34.95 37.18 63.93 19.25 165.35
569 34.89 14.96 56.69 11.24 120.16
570 35.06 16.49 48.02 11.06 108.67
571 35.12 40.45 62.62 21.84 155.44
572 35.21 70.61 96.08 33.22 41.47
573 35.23 57.74 71.42 29.67 93.67
574 35.02 13.12 51.89 11.13 112.89
575 35.27 34.81 58.18 17.53 141.85
576 35.23 54.37 65.87 27.98 102.48
577 35.40 90.15 51.25 27.43 12.82
578 35.38 19.05 50.63 12.62 114.46
579 35.05 21.01 59.52 13.48 123.32
580 35.20 60.41 70.46 30.97 81.03
581 35.35 22.17 59.46 14.81 122.84
582 35.37 78.89 98.05 33.05 26.46
583 35.51 87.04 82.50 35.78 17.98
584 35.47 27.19 52.46 15.86 122.42
585 35.46 64.64 84.64 32.31 57.57
586 35.37 67.56 104.39 33.87 47.51
587 35.56 75.66 103.77 36.37 29.67
588 35.66 24.45 53.36 14.32 120.03
589 35.57 29.93 55.10 17.09 129.81
590 35.72 7.56 37.04 9.32 72.71
591 35.81 42.71 58.08 22.53 121.91
592 35.86 10.65 45.52 10.91 100.70
593 35.82 50.87 72.07 26.89 88.79
