#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
sl11 14A 4 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
571 27.68 31.95 14.46 25.13 57.09
572 27.72 37.19 13.94 28.37 54.73
573 27.49 46.23 15.09 24.89 59.51
574 27.35 21.43 13.40 25.80 48.80
575 27.63 29.84 14.27 25.77 54.86
576 27.62 33.57 14.21 21.12 57.46
577 27.50 16.54 10.82 30.27 43.45
578 27.84 39.26 14.02 21.43 57.83
579 27.68 18.90 12.38 36.46 48.25
580 28.01 54.31 15.02 70.92 54.30
581 27.86 50.75 14.89 28.52 56.50
582 28.00 48.29 14.59 23.54 56.08
583 27.99 78.42 12.66 133.76 47.67
584 27.79 41.99 15.41 20.00 55.06
585 28.00 59.92 14.57 101.88 47.57
586 28.08 64.72 14.24 139.32 48.71
587 28.23 83.72 11.56 84.10 53.63
588 27.97 16.16 11.39 24.39 49.56
589 27.94 28.81 14.03 21.52 52.74
590 28.06 21.48 12.22 25.89 49.69
591 28.12 13.55 10.18 54.70 32.29
592 28.14 17.98 12.06 49.13 40.06
593 28.20 56.87 15.72 81.04 56.14
594 27.92 49.71 18.67 40.83 57.33
595 28.29 86.17 9.34 73.88 61.00
596 28.47 34.23 14.45 30.44 57.10
597 28.38 73.00 15.50 182.78 58.09
598 28.39 62.51 14.79 137.92 48.18
599 28.33 70.21 13.48 151.21 49.58
600 28.46 67.28 13.96 147.68 49.16
601 28.45 75.81 13.56 159.85 57.24
602 28.62 10.80 8.88 70.64 31.38
603 28.46 49.73 15.77 58.92 48.08
604 28.49 22.99 12.63 22.53 57.33
