#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
cq3 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
569 34.70 50.28 119.78 27.24 201.06
570 34.61 80.36 110.13 31.93 47.71
571 34.84 29.77 211.03 19.70 199.37
572 34.74 14.53 175.23 10.74 134.74
573 34.77 34.12 201.19 21.52 201.49
574 34.87 20.14 205.16 12.98 162.40
575 34.83 42.01 179.08 23.82 214.38
576 34.78 62.18 86.51 31.66 158.73
577 34.82 71.92 90.37 33.53 87.61
578 35.00 48.25 128.92 27.48 216.83
579 34.88 27.40 212.30 18.21 185.66
580 34.98 58.09 93.13 30.95 177.84
581 35.18 17.70 181.02 12.23 148.82
582 35.08 22.67 206.28 15.39 174.94
583 34.94 66.22 85.19 32.27 120.19
584 35.02 86.02 118.60 30.91 29.78
585 35.28 8.18 140.55 7.95 115.91
586 35.16 69.06 86.92 32.89 97.98
587 35.31 46.07 130.56 26.95 209.13
588 35.29 52.25 106.97 28.46 189.41
589 35.34 55.79 94.21 29.31 180.74
590 35.55 59.90 91.35 31.71 138.87
591 35.47 38.15 150.04 22.24 199.79
592 35.53 77.03 117.68 34.76 48.65
593 35.67 82.71 122.59 35.60 32.06
594 35.61 43.88 136.16 27.35 202.05
595 35.84 64.36 89.11 33.24 102.59
596 35.74 89.65 97.03 35.02 19.53
597 35.77 74.03 110.62 36.12 63.32
598 35.88 12.98 148.83 9.83 124.48
599 35.84 25.49 202.35 18.13 183.33
600 35.87 53.81 92.71 30.42 159.29
601 35.91 35.89 143.62 22.57 190.72
602 35.83 40.63 142.91 22.71 190.91
603 35.93 31.07 178.38 20.48 183.22
604 35.91 33.44 159.73 21.52 188.00
605 35.98 28.21 206.12 18.63 183.60
606 35.99 79.46 122.78 39.57 38.53
