#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
mu12 14A 4 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
469 26.83 58.37 5.35 32.38 26.71
470 26.85 25.75 3.60 9.91 28.13
471 26.86 52.97 4.93 13.70 30.81
472 26.96 64.51 4.89 60.27 26.04
473 26.97 40.78 5.24 15.54 29.69
474 27.13 82.79 3.56 71.93 17.46
475 27.19 19.99 3.70 16.99 19.57
476 26.88 15.87 3.10 5.80 18.60
477 26.88 43.32 4.64 12.09 30.27
478 26.97 46.24 5.38 17.82 31.15
479 27.22 66.94 4.83 75.38 28.83
480 27.40 62.21 5.56 74.11 25.41
481 27.12 38.80 4.98 11.65 30.20
482 27.26 36.99 4.73 15.88 26.27
483 27.35 16.77 3.23 14.60 13.79
484 27.37 34.22 4.79 16.30 28.79
485 27.50 69.33 5.37 100.58 25.97
486 27.58 80.11 4.11 103.18 22.15
487 27.46 54.64 5.95 28.49 30.31
488 27.34 42.39 3.97 15.53 30.24
489 27.57 56.73 5.86 43.38 26.70
490 27.70 74.71 5.17 127.40 25.96
491 27.42 24.12 4.25 22.17 22.00
492 27.93 77.39 4.43 123.71 23.44
493 27.54 45.69 4.83 16.44 31.94
494 27.64 37.59 4.40 9.90 31.05
495 27.67 21.67 3.91 10.91 23.83
496 27.77 25.22 4.05 17.33 25.00
497 27.98 59.64 5.81 81.39 28.06
498 27.98 32.02 4.08 27.33 24.53
499 28.01 71.87 5.06 135.33 26.58
500 28.00 41.75 5.00 32.29 25.07
501 27.83 46.81 5.00 18.00 32.18
502 27.82 16.07 2.82 9.91 19.00
503 28.12 64.63 6.01 128.63 28.20
504 28.06 39.37 5.51 32.52 26.03
505 28.21 19.15 3.53 23.90 18.22
506 28.35 29.64 4.46 31.10 23.94
507 28.36 34.53 4.63 36.06 26.44
508 28.18 45.75 5.33 31.08 28.46
509 28.51 37.14 5.05 42.31 27.11
510 28.51 55.07 5.56 63.70 27.87
511 28.41 22.09 4.27 29.72 21.29
512 28.36 48.48 6.42 34.55 25.29
513 28.60 67.01 5.56 154.51 25.77
514 28.46 50.37 5.78 42.67 30.39
515 28.50 52.63 6.22 48.49 28.51
516 28.55 82.90 3.91 101.42 18.11
517 28.63 57.66 5.99 92.03 31.38
518 28.53 16.30 3.35 27.98 16.39
519 28.67 62.08 5.54 147.17 30.96
520 28.67 44.18 6.09 40.91 28.36
521 28.39 46.90 5.06 17.44 38.81
522 28.82 24.71 4.18 39.05 22.99
523 28.82 69.72 5.65 167.20 25.37
524 28.87 27.40 4.40 40.55 20.93
525 28.89 74.74 4.92 147.30 26.61
526 29.01 79.43 4.63 130.84 22.84
